soort	frequentie	wijziging	referentie	naar	schatting	lcl90	ucl90	lcl60	ucl60	lcl30	ucl30	analyse	status
Aalscholver	driejaarlijks	2010-2012: +3% (-22%; +39%) t.o.v. 2007-2009 (?+)	2007	2010	1.027	0.782	1.395	0.921	1.175	0.98	1.076	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2013-2015: +20% (-10%; +100%) t.o.v. 2007-2009 (?+)	2007	2013	1.223	0.91	1.963	1.032	1.531	1.108	1.36	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2016-2018: +43% (-3%; +153%) t.o.v. 2007-2009 (?+)	2007	2016	1.431	0.966	2.526	1.113	1.898	1.267	1.63	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2019-2021: +57% (-2%; +197%) t.o.v. 2007-2009 (?+)	2007	2019	1.567	0.977	2.974	1.169	2.193	1.348	1.831	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2007-2009: -3% (-28%; +28%) t.o.v. 2010-2012 (?-)	2010	2007	0.974	0.717	1.278	0.851	1.086	0.93	1.02	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2013-2015: +18% (-6%; +71%) t.o.v. 2010-2012 (?+)	2010	2013	1.183	0.943	1.713	1.032	1.425	1.099	1.274	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2016-2018: +38% (-2%; +132%) t.o.v. 2010-2012 (?+)	2010	2016	1.379	0.983	2.319	1.102	1.792	1.239	1.554	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2019-2021: +53% (-1%; +179%) t.o.v. 2010-2012 (?+)	2010	2019	1.528	0.993	2.788	1.137	2.05	1.316	1.766	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2007-2009: -18% (-49%; +10%) t.o.v. 2013-2015 (?-)	2013	2007	0.818	0.51	1.099	0.653	0.969	0.735	0.902	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2010-2012: -15% (-42%; +6%) t.o.v. 2013-2015 (?-)	2013	2010	0.845	0.584	1.061	0.702	0.969	0.785	0.91	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2016-2018: +14% (-10%; +64%) t.o.v. 2013-2015 (?+)	2013	2016	1.14	0.899	1.64	1.013	1.348	1.073	1.221	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2019-2021: +25% (-10%; +102%) t.o.v. 2013-2015 (?+)	2013	2019	1.247	0.901	2.021	1.036	1.59	1.132	1.402	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2007-2009: -30% (-60%; +4%) t.o.v. 2016-2018 (?-)	2016	2007	0.699	0.396	1.035	0.527	0.898	0.613	0.789	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2010-2012: -27% (-57%; +2%) t.o.v. 2016-2018 (?-)	2016	2010	0.725	0.431	1.017	0.558	0.908	0.644	0.807	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
Aalscholver	driejaarlijks	2013-2015: -12% (-39%; +11%) t.o.v. 2016-2018 (?-)	2016	2013	0.877	0.61	1.113	0.742	0.987	0.819	0.932	3b5aa6769b8f90cb70d3c87fa8140342d27c9446	d7e50817e7836d36acb91416a7f07cfa136d43df
