indicator	frequentie	referentie	naar	schatting	lcl90	ucl90	lcl60	ucl60	lcl30	ucl30	klasse	analyse	status	wijziging
Bos	driejaarlijks	2007	2010	1.016	0.986	1.046	0.993	1.031	1.009	1.023	~	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2010-2012: +1.6% (-1.4%; +4.6%) t.o.v. 2007-2009 (~)
Bos	driejaarlijks	2007	2013	0.999	0.966	1.034	0.973	1.017	0.991	1.007	~	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2013-2015: -0.1% (-3.4%; +3.4%) t.o.v. 2007-2009 (~)
Bos	driejaarlijks	2007	2016	0.961	0.925	0.998	0.933	0.98	0.952	0.97	-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2016-2018: -3.9% (-7.5%; -0.2%) t.o.v. 2007-2009 (-)
Bos	driejaarlijks	2007	2019	0.936	0.894	0.981	0.903	0.959	0.926	0.947	-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2019-2021: -6.40% (-10.60%; -1.90%) t.o.v. 2007-2009 (-)
Bos	driejaarlijks	2010	2007	0.985	0.956	1.014	0.962	0.999	0.978	0.991	~	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2007-2009: -1.5% (-4.4%; +1.4%) t.o.v. 2010-2012 (~)
Bos	driejaarlijks	2010	2013	0.984	0.956	1.013	0.962	0.999	0.977	0.991	~	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2013-2015: -1.6% (-4.4%; +1.3%) t.o.v. 2010-2012 (~)
Bos	driejaarlijks	2010	2016	0.946	0.912	0.981	0.92	0.964	0.938	0.954	-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2016-2018: -5.4% (-8.8%; -1.9%) t.o.v. 2010-2012 (-)
Bos	driejaarlijks	2010	2019	0.922	0.881	0.964	0.89	0.943	0.912	0.931	-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2019-2021: -7.80% (-11.90%; -3.60%) t.o.v. 2010-2012 (-)
Bos	driejaarlijks	2013	2007	1.001	0.967	1.035	0.974	1.018	0.993	1.009	~	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2007-2009: +0.1% (-3.3%; +3.5%) t.o.v. 2013-2015 (~)
Bos	driejaarlijks	2013	2010	1.016	0.987	1.046	0.994	1.031	1.009	1.023	~	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2010-2012: +1.6% (-1.3%; +4.6%) t.o.v. 2013-2015 (~)
Bos	driejaarlijks	2013	2016	0.962	0.93	0.994	0.937	0.978	0.954	0.969	-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2016-2018: -3.8% (-7.0%; -0.6%) t.o.v. 2013-2015 (-)
Bos	driejaarlijks	2013	2019	0.937	0.897	0.978	0.906	0.958	0.927	0.946	-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2019-2021: -6.30% (-10.30%; -2.20%) t.o.v. 2013-2015 (-)
Bos	driejaarlijks	2016	2007	1.041	1.002	1.081	1.01	1.061	1.031	1.05	+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2007-2009: +4.1% (+0.2%; +8.1%) t.o.v. 2016-2018 (+)
Bos	driejaarlijks	2016	2010	1.057	1.019	1.096	1.027	1.077	1.048	1.066	+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2010-2012: +5.7% (+1.9%; +9.6%) t.o.v. 2016-2018 (+)
Bos	driejaarlijks	2016	2013	1.04	1.006	1.075	1.014	1.058	1.032	1.048	+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2013-2015: +4.0% (+0.6%; +7.5%) t.o.v. 2016-2018 (+)
Bos	driejaarlijks	2016	2019	0.974	0.939	1.011	0.947	0.993	0.966	0.983	?-	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2019-2021: -2.6% (-6.1%; +1.1%) t.o.v. 2016-2018 (?-)
Bos	driejaarlijks	2019	2007	1.068	1.02	1.119	1.03	1.094	1.057	1.08	+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2007-2009: +6.80% (+2.00%; +11.90%) t.o.v. 2019-2021 (+)
Bos	driejaarlijks	2019	2010	1.085	1.037	1.135	1.048	1.11	1.074	1.096	+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2010-2012: +8.50% (+3.70%; +13.50%) t.o.v. 2019-2021 (+)
Bos	driejaarlijks	2019	2013	1.068	1.022	1.115	1.032	1.092	1.057	1.078	+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2013-2015: +6.80% (+2.20%; +11.50%) t.o.v. 2019-2021 (+)
Bos	driejaarlijks	2019	2016	1.026	0.989	1.065	0.997	1.046	1.018	1.035	?+	cf6ecf028754d7fcdd2a84cf7e02adc6fca61a11	d52cff12a4d7d2c9f24fcecae0d9dcad6300ffa7	2016-2018: +2.6% (-1.1%; +6.5%) t.o.v. 2019-2021 (?+)
Bos	jaarlijks	2007	2008	1.025	0.988	1.063	0.996	1.044	1.016	1.034	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2008: +2.5% (-1.2%; +6.3%) t.o.v. 2007 (?+)
Bos	jaarlijks	2007	2009	0.992	0.949	1.037	0.958	1.015	0.982	1.003	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2009: -0.8% (-5.1%; +3.7%) t.o.v. 2007 (~)
Bos	jaarlijks	2007	2010	1.006	0.961	1.055	0.97	1.031	0.995	1.017	~	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2010: +0.6% (-3.9%; +5.5%) t.o.v. 2007 (~)
Bos	jaarlijks	2007	2011	1.034	0.984	1.086	0.995	1.06	1.022	1.046	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2011: +3% (-2%; +9%) t.o.v. 2007 (?+)
Bos	jaarlijks	2007	2012	1.05	0.998	1.104	1.009	1.077	1.037	1.062	?+	354fd24a4a7c57848443fd034d2e07d8e92d9169	cb94cdd01bd75165d5f06595389779932b22c252	2012: +5.0% (-0.2%; +10.4%) t.o.v. 2007 (?+)
